Title,Description,Important Words,Important Words 1,Important Words 2,Important Words 3
Brad Bellomo: Only Tool Shirts,"Welcome to the Spiral Out Podcast, where we explore diverse paths of creativity. In today's episode, meet Brad Bellomo, a seasoned tattoo artist and owner of Third Eye Tattoo. From his early days as an artist to his current role as a respected figure in the tattoo community, Brad's journey is one of evolution and dedication. Alongside his studio work, Brad has embarked on a unique personal project: wearing a different Tool band t-shirt every day for the past 777 days. Brad's also known for his incredible Tool-inspired tattoos, including pieces inspired by visionary artist Alex Grey. Join us as we dive into Brad's world, uncovering the inspiration behind his art and the significance of his daily ritual. Gain insight into Brad's creative process and the profound influence of music and art on his work. So join us on this journey into the fascinating realm of Brad Bellomo and Third Eye Tattoo. youtube:","['welcome', 'spiral', 'out', 'podcast', 'explore', 'diverse', 'paths', 'creativity', 'today', 'episode', 'meet', 'brad', 'bellomo', 'seasoned', 'tattoo', 'artist', 'owner', 'third', 'eye', 'early', 'days', 'current', 'role', 'respected', 'figure', 'community', 'journey', 'one', 'evolution', 'dedication', 'alongside', 'studio', 'work', 'embarked', 'unique', 'personal', 'project', 'wearing', 'different', 'tool', 'band', 'shirt', 'every', 'day', 'past', '777', 'also', 'known', 'incredible', 'inspired', 'tattoos', 'including', 'pieces', 'visionary', 'alex', 'grey', 'join', 'dive', 'world', 'uncovering', 'inspiration', 'behind', 'art', 'significance', 'daily', 'ritual', 'gain', 'insight', 'creative', 'process', 'profound', 'influence', 'music', 'fascinating', 'realm', 'youtube']","['spiral', 'creativity', 'bellomo', 'tattoo', 'respected', 'figure', 'evolution', 'dedication', 'embarked', 'wearing', 'shirt', '777', 'tattoos', 'visionary', 'alex', 'grey', 'ritual']","['welcome spiral', 'spiral out', 'out podcast', 'podcast explore', 'explore diverse', 'diverse paths', 'paths creativity', 'creativity today', 'episode meet', 'meet brad', 'brad bellomo', 'bellomo seasoned', 'seasoned tattoo', 'tattoo artist', 'artist owner', 'owner third', 'eye early', 'early days', 'days current', 'current role', 'role respected', 'respected figure', 'figure community', 'community journey', 'journey one', 'one evolution', 'evolution dedication', 'dedication alongside', 'alongside studio', 'studio work', 'work embarked', 'embarked unique', 'unique personal', 'personal project', 'project wearing', 'wearing different', 'different tool', 'tool band', 'band shirt', 'shirt every', 'every day', 'day past', 'past 777', '777 also', 'also known', 'known incredible', 'incredible inspired', 'inspired tattoos', 'tattoos including', 'including pieces', 'pieces visionary', 'visionary alex', 'alex grey', 'grey join', 'join dive', 'dive world', 'world uncovering', 'uncovering inspiration', 'inspiration behind', 'behind art', 'art significance', 'significance daily', 'daily ritual', 'ritual gain', 'gain insight', 'insight creative', 'creative process', 'process profound', 'profound influence', 'influence music', 'music fascinating', 'fascinating realm', 'realm youtube']","['welcome spiral out', 'spiral out podcast', 'out podcast explore', 'podcast explore diverse', 'explore diverse paths', 'diverse paths creativity', 'paths creativity today', 'creativity today episode', 'today episode meet', 'episode meet brad', 'meet brad bellomo', 'brad bellomo seasoned', 'bellomo seasoned tattoo', 'seasoned tattoo artist', 'tattoo artist owner', 'artist owner third', 'owner third eye', 'third eye early', 'eye early days', 'early days current', 'days current role', 'current role respected', 'role respected figure', 'respected figure community', 'figure community journey', 'community journey one', 'journey one evolution', 'one evolution dedication', 'evolution dedication alongside', 'dedication alongside studio', 'alongside studio work', 'studio work embarked', 'work embarked unique', 'embarked unique personal', 'unique personal project', 'personal project wearing', 'project wearing different', 'wearing different tool', 'different tool band', 'tool band shirt', 'band shirt every', 'shirt every day', 'every day past', 'day past 777', 'past 777 also', '777 also known', 'also known incredible', 'known incredible inspired', 'incredible inspired tattoos', 'inspired tattoos including', 'tattoos including pieces', 'including pieces visionary', 'pieces visionary alex', 'visionary alex grey', 'alex grey join', 'grey join dive', 'join dive world', 'dive world uncovering', 'world uncovering inspiration', 'uncovering inspiration behind', 'inspiration behind art', 'behind art significance', 'art significance daily', 'significance daily ritual', 'daily ritual gain', 'ritual gain insight', 'gain insight creative', 'insight creative process', 'creative process profound', 'process profound influence', 'profound influence music', 'influence music fascinating', 'music fascinating realm', 'fascinating realm youtube']"
Season 3/: Turning Positivity and Grit into Entrepreneurial Success: Deb Wiegers' Journey,"Have you ever met someone whose life radiates the possibility that comes from unwavering positivity and grit? Deb Wiegers, the co-founder of Wiegers Financial and Benefits, embodies just that. Her journey from a small-town girl to a successful entrepreneur is awe-inspiring. In this episode, Deb opens up about her fearless leap into the unknown with a can-do attitude that's contagious. From her early days of figure skating and retail work to co-founding her company, her story is a compelling illustration of how a positive mindset and resilience can revolutionize your life and career. Confronting skepticism head-on and turning doubts into fuel for ambitions, Deb recounts pivotal moments of her life, such as the shift from a misaligned career path to flourishing in the insurance industry. Her candour about navigating the complexities of working with a spouse and evolving within a family business offers a real-world perspective that's as enlightening as it is practical. Deb's insights remind us that change is a constant, but with a foundation of positive thinking and mutual respect, the path to success—with all its twists and turns—can be navigated with confidence and grace. Join us for a narrative that's rich with change, determination, and the indomitable power of positivity.","['ever', 'met', 'someone', 'life', 'radiates', 'possibility', 'comes', 'unwavering', 'positivity', 'grit', 'deb', 'wiegers', 'founder', 'financial', 'benefits', 'embodies', 'journey', 'small', 'town', 'girl', 'successful', 'entrepreneur', 'awe', 'inspiring', 'episode', 'opens', 'fearless', 'leap', 'unknown', 'attitude', 'contagious', 'early', 'days', 'figure', 'skating', 'retail', 'work', 'founding', 'company', 'story', 'compelling', 'illustration', 'positive', 'mindset', 'resilience', 'revolutionize', 'career', 'confronting', 'skepticism', 'head', 'turning', 'doubts', 'fuel', 'ambitions', 'recounts', 'pivotal', 'moments', 'shift', 'misaligned', 'path', 'flourishing', 'insurance', 'industry', 'candour', 'navigating', 'complexities', 'working', 'spouse', 'evolving', 'within', 'family', 'business', 'offers', 'real', 'world', 'perspective', 'enlightening', 'practical', 'insights', 'remind', 'change', 'constant', 'foundation', 'thinking', 'mutual', 'respect', 'success', 'all', 'twists', 'turns', 'navigated', 'confidence', 'grace', 'join', 'narrative', 'rich', 'determination', 'indomitable', 'power']","['radiates', 'possibility', 'positivity', 'grit', 'deb', 'wiegers', 'embodies', 'awe', 'unknown', 'attitude', 'contagious', 'skating', 'founding', 'illustration', 'revolutionize', 'confronting', 'skepticism', 'doubts', 'fuel', 'ambitions', 'recounts', 'pivotal', 'misaligned', 'flourishing', 'insurance', 'candour', 'spouse', 'evolving', 'remind', 'constant', 'mutual', 'respect', 'twists', 'navigated', 'rich', 'indomitable']","['ever met', 'met someone', 'someone life', 'life radiates', 'radiates possibility', 'possibility comes', 'comes unwavering', 'unwavering positivity', 'positivity grit', 'grit deb', 'deb wiegers', 'wiegers founder', 'founder financial', 'financial benefits', 'benefits embodies', 'embodies journey', 'journey small', 'small town', 'town girl', 'girl successful', 'successful entrepreneur', 'entrepreneur awe', 'awe inspiring', 'inspiring episode', 'episode opens', 'opens fearless', 'fearless leap', 'leap unknown', 'unknown attitude', 'attitude contagious', 'contagious early', 'days figure', 'figure skating', 'skating retail', 'retail work', 'work founding', 'founding company', 'company story', 'story compelling', 'compelling illustration', 'illustration positive', 'positive mindset', 'mindset resilience', 'resilience revolutionize', 'revolutionize career', 'career confronting', 'confronting skepticism', 'skepticism head', 'head turning', 'turning doubts', 'doubts fuel', 'fuel ambitions', 'ambitions recounts', 'recounts pivotal', 'pivotal moments', 'moments shift', 'shift misaligned', 'misaligned path', 'path flourishing', 'flourishing insurance', 'insurance industry', 'industry candour', 'candour navigating', 'complexities working', 'working spouse', 'spouse evolving', 'evolving within', 'within family', 'family business', 'business offers', 'offers real', 'real world', 'world perspective', 'perspective enlightening', 'enlightening practical', 'practical insights', 'insights remind', 'remind change', 'change constant', 'constant foundation', 'foundation thinking', 'thinking mutual', 'mutual respect', 'respect success', 'all twists', 'twists turns', 'turns navigated', 'navigated confidence', 'confidence grace', 'grace join', 'join narrative', 'narrative rich', 'rich determination', 'determination indomitable', 'indomitable power']","['ever met someone', 'met someone life', 'someone life radiates', 'life radiates possibility', 'radiates possibility comes', 'possibility comes unwavering', 'comes unwavering positivity', 'unwavering positivity grit', 'positivity grit deb', 'grit deb wiegers', 'deb wiegers founder', 'wiegers founder financial', 'founder financial benefits', 'financial benefits embodies', 'benefits embodies journey', 'embodies journey small', 'journey small town', 'small town girl', 'town girl successful', 'girl successful entrepreneur', 'successful entrepreneur awe', 'entrepreneur awe inspiring', 'awe inspiring episode', 'inspiring episode opens', 'episode opens fearless', 'opens fearless leap', 'fearless leap unknown', 'leap unknown attitude', 'unknown attitude contagious', 'attitude contagious early', 'contagious early days', 'early days figure', 'days figure skating', 'figure skating retail', 'skating retail work', 'retail work founding', 'work founding company', 'founding company story', 'company story compelling', 'story compelling illustration', 'compelling illustration positive', 'illustration positive mindset', 'positive mindset resilience', 'mindset resilience revolutionize', 'resilience revolutionize career', 'revolutionize career confronting', 'career confronting skepticism', 'confronting skepticism head', 'skepticism head turning', 'head turning doubts', 'turning doubts fuel', 'doubts fuel ambitions', 'fuel ambitions recounts', 'ambitions recounts pivotal', 'recounts pivotal moments', 'pivotal moments shift', 'moments shift misaligned', 'shift misaligned path', 'misaligned path flourishing', 'path flourishing insurance', 'flourishing insurance industry', 'insurance industry candour', 'industry candour navigating', 'candour navigating complexities', 'navigating complexities working', 'complexities working spouse', 'working spouse evolving', 'spouse evolving within', 'evolving within family', 'within family business', 'family business offers', 'business offers real', 'offers real world', 'real world perspective', 'world perspective enlightening', 'perspective enlightening practical', 'enlightening practical insights', 'practical insights remind', 'insights remind change', 'remind change constant', 'change constant foundation', 'constant foundation thinking', 'foundation thinking mutual', 'thinking mutual respect', 'mutual respect success', 'respect success all', 'success all twists', 'all twists turns', 'twists turns navigated', 'turns navigated confidence', 'navigated confidence grace', 'confidence grace join', 'grace join narrative', 'join narrative rich', 'narrative rich determination', 'rich determination indomitable', 'determination indomitable power']"
"34 Bountiful Harvest: Gathering the Vine, Fruit, and Love | John 15 Explained","Watch on YouTube and participate in the conversation: Available On: Amazon Google Spotify Apple Pandora Pod Bean MyWebsite: Donate to help create more episodes, faster: Support Me on Patreon: Support Me on my website: Get Social: Join the conversation on Facebook: Knowing Jesus Podcast #podcast #Christianity #Jesus #Christian #Love #Faith #Bible #BibleReadingPlan #AudioBible #BibleCommentary","['watch', 'youtube', 'participate', 'conversation', 'available', 'amazon', 'google', 'spotify', 'apple', 'pandora', 'pod', 'bean', 'mywebsite', 'donate', 'help', 'create', 'more', 'episodes', 'faster', 'support', 'patreon', 'website', 'get', 'social', 'join', 'facebook', 'knowing', 'jesus', 'podcast', 'christianity', 'christian', 'love', 'faith', 'bible', 'biblereadingplan', 'audiobible', 'biblecommentary']","['participate', 'pandora', 'pod', 'bean', 'mywebsite', 'christianity', 'biblereadingplan', 'audiobible', 'biblecommentary']","['watch youtube', 'youtube participate', 'participate conversation', 'conversation available', 'available amazon', 'amazon google', 'google spotify', 'apple pandora', 'pandora pod', 'pod bean', 'bean mywebsite', 'mywebsite donate', 'donate help', 'create more', 'more episodes', 'episodes faster', 'faster support', 'patreon website', 'website get', 'get social', 'social join', 'join facebook', 'facebook knowing', 'knowing jesus', 'jesus podcast', 'podcast christianity', 'christianity christian', 'christian love', 'love faith', 'faith bible', 'bible biblereadingplan', 'biblereadingplan audiobible', 'audiobible biblecommentary']","['watch youtube participate', 'youtube participate conversation', 'participate conversation available', 'conversation available amazon', 'available amazon google', 'amazon google spotify', 'google spotify apple', 'spotify apple pandora', 'apple pandora pod', 'pandora pod bean', 'pod bean mywebsite', 'bean mywebsite donate', 'mywebsite donate help', 'donate help create', 'help create more', 'create more episodes', 'more episodes faster', 'episodes faster support', 'faster support patreon', 'support patreon website', 'patreon website get', 'website get social', 'get social join', 'social join facebook', 'join facebook knowing', 'facebook knowing jesus', 'knowing jesus podcast', 'jesus podcast christianity', 'podcast christianity christian', 'christianity christian love', 'christian love faith', 'love faith bible', 'faith bible biblereadingplan', 'bible biblereadingplan audiobible', 'biblereadingplan audiobible biblecommentary']"
Princess Paradox: Mulan & Fiercely Feminine,"The Princess Paradox series aims to discuss the powerful truths that are presented in the Disney Princess movies. Going in chronological order, in this episode we discuss Mulan and how we too can be fierce and feminine woman warriors.","['princess', 'paradox', 'series', 'aims', 'discuss', 'powerful', 'truths', 'presented', 'disney', 'movies', 'going', 'chronological', 'order', 'episode', 'mulan', 'fierce', 'feminine', 'woman', 'warriors']","['princess', 'paradox', 'presented', 'chronological', 'mulan', 'fierce', 'feminine', 'woman', 'warriors']","['princess paradox', 'paradox series', 'series aims', 'aims discuss', 'discuss powerful', 'powerful truths', 'truths presented', 'presented disney', 'disney movies', 'movies going', 'going chronological', 'chronological order', 'order episode', 'episode mulan', 'mulan fierce', 'fierce feminine', 'feminine woman', 'woman warriors']","['princess paradox series', 'paradox series aims', 'series aims discuss', 'aims discuss powerful', 'discuss powerful truths', 'powerful truths presented', 'truths presented disney', 'presented disney movies', 'disney movies going', 'movies going chronological', 'going chronological order', 'chronological order episode', 'order episode mulan', 'episode mulan fierce', 'mulan fierce feminine', 'fierce feminine woman', 'feminine woman warriors']"
Ep : Blackbeard vs. Point Nemo,"Welcome to Wanna Match Podcast! It's a podcast where two best friends, Emily and Sydney, come together each week, match, and then try to describe a topic they previously researched. This week, Emily does Blackbeard (and shares her very real fear of open water) and Sydney does Point Nemo (which puts Emily into a tailspin about the open water thing). New episodes of Wanna Match Podcast every Monday at 4:20am EST wherever you get your podcasts. The video will be available on Youtube at 4:20pm EST right here: Music in the episode: ""Cookouts"" by Audiobinger Show notes and citations can be found at emydblog.com/category/wanna-match Other places to find us: Email: wannamatchpod@gmail.com Connect with Em: This podcast is produced by EmyD Media. Business inquiries welcome at contact@emydblog.com.","['welcome', 'wanna', 'match', 'podcast', 'two', 'best', 'friends', 'emily', 'sydney', 'come', 'together', 'each', 'week', 'try', 'describe', 'topic', 'previously', 'researched', 'blackbeard', 'shares', 'real', 'fear', 'open', 'water', 'point', 'nemo', 'puts', 'tailspin', 'thing', 'new', 'episodes', 'every', 'monday', '20am', 'est', 'wherever', 'get', 'podcasts', 'video', 'available', 'youtube', '20pm', 'right', 'here', 'music', 'episode', 'cookouts', 'audiobinger', 'show', 'notes', 'citations', 'found', 'emydblog', 'com', 'category', 'other', 'places', 'find', 'email', 'connect', 'produced', 'emyd', 'media', 'business', 'inquiries']","['wanna', 'match', 'emily', 'describe', 'previously', 'researched', 'blackbeard', 'point', 'nemo', 'puts', 'tailspin', 'monday', '20am', 'est', 'wherever', '20pm', 'cookouts', 'audiobinger', 'citations', 'emydblog', 'category', 'places', 'produced', 'emyd', 'inquiries']","['welcome wanna', 'wanna match', 'match podcast', 'podcast two', 'two best', 'best friends', 'friends emily', 'emily sydney', 'sydney come', 'come together', 'together each', 'each week', 'week try', 'try describe', 'describe topic', 'topic previously', 'previously researched', 'researched blackbeard', 'blackbeard shares', 'shares real', 'real fear', 'fear open', 'open water', 'water point', 'point nemo', 'nemo puts', 'puts tailspin', 'tailspin thing', 'thing new', 'new episodes', 'episodes every', 'every monday', 'monday 20am', '20am est', 'est wherever', 'wherever get', 'get podcasts', 'podcasts video', 'video available', 'available youtube', 'youtube 20pm', '20pm right', 'right here', 'here music', 'music episode', 'episode cookouts', 'cookouts audiobinger', 'audiobinger show', 'notes citations', 'citations found', 'found emydblog', 'emydblog com', 'com category', 'category other', 'other places', 'places find', 'find email', 'email connect', 'connect produced', 'produced emyd', 'emyd media', 'media business', 'business inquiries']","['welcome wanna match', 'wanna match podcast', 'match podcast two', 'podcast two best', 'two best friends', 'best friends emily', 'friends emily sydney', 'emily sydney come', 'sydney come together', 'come together each', 'together each week', 'each week try', 'week try describe', 'try describe topic', 'describe topic previously', 'topic previously researched', 'previously researched blackbeard', 'researched blackbeard shares', 'blackbeard shares real', 'shares real fear', 'real fear open', 'fear open water', 'open water point', 'water point nemo', 'point nemo puts', 'nemo puts tailspin', 'puts tailspin thing', 'tailspin thing new', 'thing new episodes', 'new episodes every', 'episodes every monday', 'every monday 20am', 'monday 20am est', '20am est wherever', 'est wherever get', 'wherever get podcasts', 'get podcasts video', 'podcasts video available', 'video available youtube', 'available youtube 20pm', 'youtube 20pm right', '20pm right here', 'right here music', 'here music episode', 'music episode cookouts', 'episode cookouts audiobinger', 'cookouts audiobinger show', 'audiobinger show notes', 'show notes citations', 'notes citations found', 'citations found emydblog', 'found emydblog com', 'emydblog com category', 'com category other', 'category other places', 'other places find', 'places find email', 'find email connect', 'email connect produced', 'connect produced emyd', 'produced emyd media', 'emyd media business', 'media business inquiries']"
The Lover Quarrel Interview,"In this episode, we interview R.R Hutchison and E=MC^2 as the talk about the new book The Lover Quarrel and their publication company Light Bright.","['episode', 'interview', 'hutchison', 'talk', 'new', 'book', 'lover', 'quarrel', 'publication', 'company', 'light', 'bright']","['hutchison', 'lover', 'quarrel', 'publication', 'bright']","['episode interview', 'interview hutchison', 'hutchison talk', 'talk new', 'new book', 'book lover', 'lover quarrel', 'quarrel publication', 'publication company', 'company light', 'light bright']","['episode interview hutchison', 'interview hutchison talk', 'hutchison talk new', 'talk new book', 'new book lover', 'book lover quarrel', 'lover quarrel publication', 'quarrel publication company', 'publication company light', 'company light bright']"
Robert Hill from Peach County High School,"In episode 130, Tom talks with Robert Hill from Peach County High School in Fort Valley, Georgia. This was recorded live during the AVTF Meet and Greet at Peach Co. This event served as the program's advisory council meeting and was a great way of members of the community to see what happens in the program. Thanks to our sponsor, Amitrace, for their support of Teaching To The Test Pattern. For more tools, tricks, and techniques for teaching video production, please visit StreamSemester.com.","['episode', '130', 'tom', 'talks', 'robert', 'hill', 'peach', 'county', 'high', 'school', 'fort', 'valley', 'georgia', 'recorded', 'live', 'avtf', 'meet', 'greet', 'event', 'served', 'program', 'advisory', 'council', 'meeting', 'great', 'way', 'members', 'community', 'see', 'happens', 'thanks', 'sponsor', 'amitrace', 'support', 'teaching', 'test', 'pattern', 'more', 'tools', 'tricks', 'techniques', 'video', 'production', 'please', 'visit', 'streamsemester', 'com']","['130', 'tom', 'peach', 'county', 'fort', 'valley', 'georgia', 'recorded', 'avtf', 'greet', 'advisory', 'council', 'meeting', 'sponsor', 'amitrace', 'pattern', 'tricks', 'techniques', 'streamsemester']","['episode 130', '130 tom', 'tom talks', 'talks robert', 'robert hill', 'hill peach', 'peach county', 'county high', 'school fort', 'fort valley', 'valley georgia', 'georgia recorded', 'recorded live', 'live avtf', 'avtf meet', 'meet greet', 'greet event', 'event served', 'served program', 'program advisory', 'advisory council', 'council meeting', 'meeting great', 'great way', 'way members', 'members community', 'community see', 'see happens', 'happens thanks', 'thanks sponsor', 'sponsor amitrace', 'amitrace support', 'support teaching', 'teaching test', 'test pattern', 'pattern more', 'more tools', 'tools tricks', 'tricks techniques', 'techniques video', 'video production', 'production please', 'please visit', 'visit streamsemester', 'streamsemester com']","['episode 130 tom', '130 tom talks', 'tom talks robert', 'talks robert hill', 'robert hill peach', 'hill peach county', 'peach county high', 'county high school', 'high school fort', 'school fort valley', 'fort valley georgia', 'valley georgia recorded', 'georgia recorded live', 'recorded live avtf', 'live avtf meet', 'avtf meet greet', 'meet greet event', 'greet event served', 'event served program', 'served program advisory', 'program advisory council', 'advisory council meeting', 'council meeting great', 'meeting great way', 'great way members', 'way members community', 'members community see', 'community see happens', 'see happens thanks', 'happens thanks sponsor', 'thanks sponsor amitrace', 'sponsor amitrace support', 'amitrace support teaching', 'support teaching test', 'teaching test pattern', 'test pattern more', 'pattern more tools', 'more tools tricks', 'tools tricks techniques', 'tricks techniques video', 'techniques video production', 'video production please', 'production please visit', 'please visit streamsemester', 'visit streamsemester com']"
"Free Agency Follies - Kevin, Lyle, Robbie",Free agency!,"['free', 'agency']",[],['free agency'],[]
We're talking UFOs today on the show!,"Ronny Dawson is a UFO Researcher, a Disclosure Advocate and UFO Conference Presenter, an Alien Contactee and a UFO Experiencer. Today we'll be talking about his experiences as well as government cover-ups of experiences and a whole host of other UFO/UAP phenomenon. This will be a terrific show.","['ronny', 'dawson', 'ufo', 'researcher', 'disclosure', 'advocate', 'conference', 'presenter', 'alien', 'contactee', 'experiencer', 'today', 'talking', 'experiences', 'well', 'government', 'cover', 'ups', 'whole', 'host', 'other', 'uap', 'phenomenon', 'terrific', 'show']","['ronny', 'ufo', 'researcher', 'conference', 'presenter', 'alien', 'contactee', 'experiencer', 'uap', 'phenomenon', 'terrific']","['ronny dawson', 'dawson ufo', 'ufo researcher', 'researcher disclosure', 'disclosure advocate', 'advocate conference', 'conference presenter', 'presenter alien', 'alien contactee', 'contactee experiencer', 'experiencer today', 'today talking', 'talking experiences', 'experiences well', 'well government', 'government cover', 'cover ups', 'ups whole', 'whole host', 'host other', 'other uap', 'uap phenomenon', 'phenomenon terrific', 'terrific show']","['ronny dawson ufo', 'dawson ufo researcher', 'ufo researcher disclosure', 'researcher disclosure advocate', 'disclosure advocate conference', 'advocate conference presenter', 'conference presenter alien', 'presenter alien contactee', 'alien contactee experiencer', 'contactee experiencer today', 'experiencer today talking', 'today talking experiences', 'talking experiences well', 'experiences well government', 'well government cover', 'government cover ups', 'cover ups whole', 'ups whole host', 'whole host other', 'host other uap', 'other uap phenomenon', 'uap phenomenon terrific', 'phenomenon terrific show']"
S2E6 - [S02E06] Wish You Were here,"Content Warnings: haunting, psychedelic drugging, violence ** Brynn takes a gig with a vacation surrogacy company: she will go on a vacation at an orbital spa, after which her memories will be extracted and implanted in a buyer's mind. However, the spa turns out to be a frightening place. ** The Cast Batilda : Katrina Pecina Brynn : Ashlee Jones Margot : Mel Nichols Ollie : Jeremy Tucker ** This episode was written by Ella Gale, and directed & edited by Kale Brown. ** Click here for the episode’s script. ** This space is anything but safe. Our Website Join the Law of Names Discord Follow us on Twitter Our theme music was composed & arranged by Michael Freitag . Devoid of Space is a Law of Names production. © This work is copyrighted by Law of Names Media, 2022 It may be freely adapted and remixed for commercial and non-commercial use with attribution to the original creators. The unaltered material may not be shared or distributed for any purpose without written permission from Law of Names Media. For adaptations and derivative works, please include the following: Created with permission from Law of Names Media . Based on original material from Devoid of Space . All rights reserved.","['content', 'warnings', 'haunting', 'psychedelic', 'drugging', 'violence', 'brynn', 'takes', 'gig', 'vacation', 'surrogacy', 'company', 'orbital', 'spa', 'memories', 'extracted', 'implanted', 'buyer', 'mind', 'however', 'turns', 'out', 'frightening', 'place', 'cast', 'batilda', 'katrina', 'pecina', 'ashlee', 'jones', 'margot', 'mel', 'nichols', 'ollie', 'jeremy', 'tucker', 'episode', 'written', 'ella', 'gale', 'directed', 'edited', 'kale', 'brown', 'click', 'here', 'script', 'space', 'anything', 'safe', 'website', 'join', 'law', 'names', 'discord', 'follow', 'twitter', 'theme', 'music', 'composed', 'arranged', 'michael', 'freitag', 'devoid', 'production', 'work', 'copyrighted', 'media', '2022', 'freely', 'adapted', 'remixed', 'commercial', 'non', 'use', 'attribution', 'original', 'creators', 'unaltered', 'material', 'shared', 'distributed', 'any', 'purpose', 'without', 'permission', 'adaptations', 'derivative', 'works', 'please', 'include', 'following', 'created', 'based', 'all', 'rights', 'reserved']","['warnings', 'haunting', 'psychedelic', 'drugging', 'violence', 'brynn', 'gig', 'vacation', 'surrogacy', 'orbital', 'spa', 'extracted', 'implanted', 'frightening', 'cast', 'batilda', 'katrina', 'pecina', 'ashlee', 'jones', 'margot', 'mel', 'nichols', 'ollie', 'jeremy', 'tucker', 'gale', 'directed', 'edited', 'kale', 'anything', 'names', 'theme', 'composed', 'arranged', 'freitag', 'devoid', 'copyrighted', 'adapted', 'remixed', 'non', 'creators', 'unaltered', 'material', 'distributed', 'permission', 'adaptations', 'derivative', 'rights', 'reserved']","['content warnings', 'warnings haunting', 'haunting psychedelic', 'psychedelic drugging', 'drugging violence', 'violence brynn', 'brynn takes', 'takes gig', 'gig vacation', 'vacation surrogacy', 'surrogacy company', 'company orbital', 'orbital spa', 'spa memories', 'memories extracted', 'extracted implanted', 'implanted buyer', 'buyer mind', 'mind however', 'however turns', 'turns out', 'out frightening', 'frightening place', 'place cast', 'cast batilda', 'batilda katrina', 'katrina pecina', 'pecina ashlee', 'ashlee jones', 'jones margot', 'margot mel', 'mel nichols', 'nichols ollie', 'ollie jeremy', 'jeremy tucker', 'tucker episode', 'episode written', 'written ella', 'ella gale', 'gale directed', 'directed edited', 'edited kale', 'kale brown', 'brown click', 'click here', 'here script', 'script space', 'space anything', 'anything safe', 'safe website', 'website join', 'join law', 'law names', 'names discord', 'discord follow', 'twitter theme', 'theme music', 'music composed', 'composed arranged', 'arranged michael', 'michael freitag', 'freitag devoid', 'devoid production', 'production work', 'work copyrighted', 'copyrighted media', 'media 2022', '2022 freely', 'freely adapted', 'adapted remixed', 'remixed commercial', 'commercial non', 'non use', 'use attribution', 'attribution original', 'original creators', 'creators unaltered', 'unaltered material', 'material shared', 'shared distributed', 'distributed any', 'any purpose', 'purpose without', 'without permission', 'permission adaptations', 'adaptations derivative', 'derivative works', 'works please', 'please include', 'include following', 'following created', 'created based', 'based all', 'all rights', 'rights reserved']","['content warnings haunting', 'warnings haunting psychedelic', 'haunting psychedelic drugging', 'psychedelic drugging violence', 'drugging violence brynn', 'violence brynn takes', 'brynn takes gig', 'takes gig vacation', 'gig vacation surrogacy', 'vacation surrogacy company', 'surrogacy company orbital', 'company orbital spa', 'orbital spa memories', 'spa memories extracted', 'memories extracted implanted', 'extracted implanted buyer', 'implanted buyer mind', 'buyer mind however', 'mind however turns', 'however turns out', 'turns out frightening', 'out frightening place', 'frightening place cast', 'place cast batilda', 'cast batilda katrina', 'batilda katrina pecina', 'katrina pecina ashlee', 'pecina ashlee jones', 'ashlee jones margot', 'jones margot mel', 'margot mel nichols', 'mel nichols ollie', 'nichols ollie jeremy', 'ollie jeremy tucker', 'jeremy tucker episode', 'tucker episode written', 'episode written ella', 'written ella gale', 'ella gale directed', 'gale directed edited', 'directed edited kale', 'edited kale brown', 'kale brown click', 'brown click here', 'click here script', 'here script space', 'script space anything', 'space anything safe', 'anything safe website', 'safe website join', 'website join law', 'join law names', 'law names discord', 'names discord follow', 'discord follow twitter', 'follow twitter theme', 'twitter theme music', 'theme music composed', 'music composed arranged', 'composed arranged michael', 'arranged michael freitag', 'michael freitag devoid', 'freitag devoid production', 'devoid production work', 'production work copyrighted', 'work copyrighted media', 'copyrighted media 2022', 'media 2022 freely', '2022 freely adapted', 'freely adapted remixed', 'adapted remixed commercial', 'remixed commercial non', 'commercial non use', 'non use attribution', 'use attribution original', 'attribution original creators', 'original creators unaltered', 'creators unaltered material', 'unaltered material shared', 'material shared distributed', 'shared distributed any', 'distributed any purpose', 'any purpose without', 'purpose without permission', 'without permission adaptations', 'permission adaptations derivative', 'adaptations derivative works', 'derivative works please', 'works please include', 'please include following', 'include following created', 'following created based', 'created based all', 'based all rights', 'all rights reserved']"
